CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE
1160,FC ATTIDIYA,"251, Main Road ,  Attidiya .",6.8404709,79.8844403,Cargills,2/28/2025
1585,FC BANDARAWELA 02,"No:393,BADULLA RD,BANDARAWELA",6.8284404,80.9957718,Cargills,2/28/2025
1658,FH HAVELOCK CITY,HAVELOCK CITY,6.8827383,79.8683695,Cargills,2/28/2025
1673,FC WALPOLA,WALPOLA,6.918308,79.9220686,Cargills,2/28/2025
1684,FC LEWELLA,LEWELLA,7.299051,80.6507268,Cargills,2/28/2025
1686,EX ANGUNAKOLAPELASSA,ANGUNAKOLAPELASSA,6.1655689,80.9031172,Cargills,2/28/2025
1687,FC ANGUNAWALA,ANGUNAWALA,7.2391815,80.5924449,Cargills,2/28/2025
1688,FC NUGAWELA,NUGAWELA,7.3273835,80.5878658,Cargills,2/28/2025
1689,FC CHILLAW 03,CHILLAW 03,7.5619894,79.8016569,Cargills,2/28/2025
1690,FC VEYANGODA,VEYANGODA,7.1540552,80.0593752,Cargills,2/28/2025
1691,FC MOUNT LAVINIA 02,MOUNT LAVINIA 02,6.8521774,79.9096853,Cargills,2/28/2025
1692,FC TORRINGTON SQUARE,TORRINGTON SQUARE,6.9035383,79.8681098,Cargills,2/28/2025
1693,FC KATUBEDDA (SQUARE),KATUBEDDA (SQUARE),6.8014572,79.8996789,Cargills,2/28/2025
1696,FC HAKMANA,HAKMANA,6.0795539,80.6576623,Cargills,2/28/2025
1860,EX POLPITHIGAMA,POLPITHIGAMA,7.8211511,80.4062219,Cargills,2/28/2025
1868,EX PUTTALAM,PUTTALAM,8.0407913,79.839386,Cargills,2/28/2025
1873,EX KANDALAMA (MIRIGAMA),KANDALAMA (MIRIGAMA),7.269372,80.1330885,Cargills,2/28/2025
1880,EX HINGURAKGODA,HINGURAKGODA,8.0415888,80.9532359,Cargills,2/28/2025
1881,EX ATIGALA,ATIGALA,6.894662,80.0562864,Cargills,2/28/2025
1883,EX KUMBALGAMA,KUMBALGAMA,6.6898822,80.8045568,Cargills,2/28/2025
1884,EX KONDAVIL,KONDAVIL,9.7030007,80.0339312,Cargills,2/28/2025
1886,EX CAPITAL HEIGHTS,CAPITAL HEIGHTS,7.873054,80.771797,Cargills,2/28/2025
1889,EX WORLD TRADE CENTRE,WORLD TRADE CENTRE,6.9326701,79.8437576,Cargills,2/28/2025
