CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,DATE
1019,EX MOUNT LAVINIA,"360 , Galle  Road , Mount Lavinia .",6.8301185,79.8800832,Cargills,2/25/2025
1119,FC WELLAWATTE,"No:-256 3-B/1,Moor Road, Wellawatte, Colombo 06.",6.8755308,79.8609984,Cargills,2/25/2025
1034,FC MAHARAGAMA,"75 ,  Dehiwala  Road ,  Maharagama .",6.8510951,79.9212011,Cargills,2/25/2025
1039,FC NUGEGODA,"240 , High  Level  Road , Nugegoda",6.8649081,79.8996789,Cargills,2/25/2025
1063,FC MALABE,"766 , Kaduwela  Road , Malabe",6.9060787,79.9696277,Cargills,2/25/2025
1069,EX RAJAGIRIYA,"349, Cotta  Road , Rajagiriya",6.9094108,79.8942538,Cargills,2/25/2025
1038,FC PITAKOTTE,"407 , Pitta Kotte Road , Pita Kotte .",6.8808992,79.9052768,Cargills,2/25/2025
1086,FC GAMPAHA,"45 , Bauddhaloka  Mawatha , Gampaha .",7.0840484,80.0098314,Cargills,2/25/2025
1101,FC PILIYANDALA,"122/A, Kesbewa  Road , Piliyandala .",6.8017575,79.9227313,Cargills,2/25/2025
1103,FC NAWALA,"264 , Nawala  Road , Nawala .",6.8964191,79.8884819,Cargills,2/25/2025
1134,FC KARAGAMPITIYA,"176 , Hill  Street , Karagampitiya , Dehiwala",6.8559485,79.8629683,Cargills,2/25/2025
1122,FC KELANIYA,"878 , Kandy  Road , Kelaniya",6.9517846,79.9132991,Cargills,2/25/2025
1132,FC HOMAGAMA,"96 , High  Level  Road , Homagama .",6.8432762,80.0031833,Cargills,2/25/2025
1118,FC KOHUWALA,"89, S.D.S. Jayasinghe Mawatha , Kohuwala, Nugegoda .",6.8649081,79.8996789,Cargills,2/25/2025
1128,FC KOLONNAWA,"Urban  Council  Premises ,  Kolonnawa , Wellampitiya .",6.9424282,79.9045771,Cargills,2/25/2025
1123,FC KOTTAWA,"87 , High level  Road , Kottawa .",6.8411652,79.9654324,Cargills,2/25/2025
1154,FC DELKANDA,"352 B, Gamsaba Junsion , Delkanda.",7.327277,80.6382627,Cargills,2/25/2025
1165,FC KOSWATTE,"290,  Kaduwela Road  ,  Koswatta.",6.908863,79.9313567,Cargills,2/25/2025
1173,FC KOHUWALA 2,"No.106/3, Dutugemunu Street,   Kohuwala",6.8624842,79.8854983,Cargills,2/25/2025
1178,FC MAHARAGAMA 2,"No.147,High Level Rd,  Maharagama.",6.8510951,79.9212011,Cargills,2/25/2025
1176,FC MIRIHANA,"No.108,Jubilie Post,  Mirihana , Nugegoda.",6.8649081,79.8996789,Cargills,2/25/2025
1177,FC NUGEGODA 2,"No.79,Stanley Thilakarathna Mawatha,  Nugegoda",6.8649081,79.8996789,Cargills,2/25/2025
1168,FC WIJERAMA,"No.533,High Level Rd,  Wijerama  , Nugegoda.",6.8649081,79.8996789,Cargills,2/25/2025
1197,FC ATHURUGIRIYA,"No.100, Main Road,     Athurugiriya.",6.8723185,80.0003875,Cargills,2/25/2025
1285,FC PANNIPITIYA,"No.1499/A, Vidyala Junction, Hokandara Rd,  Pannipitiya",6.8463993,79.9484346,Cargills,2/25/2025
1287,FC BOKUNDARA,"No. 201/1A,  Bokundara  , Piliyandala",6.8017575,79.9227313,Cargills,2/25/2025
1295,FC MALABE 2,"No 162/7, Ratna Building New Kandy rd ,Weliwita Junction,  Malabe",6.9060787,79.9696277,Cargills,2/25/2025
1290,FC BATTARAMULLA,"No. 103, Athul Kotte road,  Battaramulla.",6.8979941,79.9222869,Cargills,2/25/2025
1284,FC RAJAGIRIYA 2,"No.385/01,Sri Jayawardanapura Mw,Welikada, Rajagiriya.",6.9094108,79.8942538,Cargills,2/25/2025
1406,FC KOTIKAWATTA,"No.250, IDH Rd, Kotikawatta.",6.9345136,79.9059766,Cargills,2/25/2025
1416,FC ETHULKOTTE,"No.906, Kotte Road, Ethul Kotte, Kotte",6.8867616,79.9187142,Cargills,2/25/2025
1418,FC KALAPALUWAWA,"No. 21/8 Buthgamuwa Road, Kalapaluwawa, Rajagiriya",6.9094108,79.8942538,Cargills,2/25/2025
1328,EX HABARAKADA,"No. 575/14 Borella Road, Habarakada, Homagama.",6.8432762,80.0031833,Cargills,2/25/2025
1329,EX NEDIMALA,"No. 65 C, Pepiliyana Road, Nedimala, Dehiwala.",6.8559485,79.8629683,Cargills,2/25/2025
1340,EX POLGAHAWELA,"No.23, Kurunagala Road, Polgahawela.",7.3274866,80.2934522,Cargills,2/25/2025
1332,FC MATTEGODA,"No. 146/83, Salmal Pedesa, Mattegoda",6.8135488,79.9724245,Cargills,2/25/2025
1452,FC THALAWATHUGODA,"No. 205/S, Pannipitiya Road, Thalawathugoda",6.8758648,79.9391936,Cargills,2/25/2025
1344,EX DEPANAMA,"No. 205, Borella Road,Depanama,",7.873054,80.771797,Cargills,2/25/2025
1348,EX PUGODA,"Cargills Food City, Hanwella Road,Kospitiyana,Pugoda.",6.9750337,80.1180967,Cargills,2/25/2025
1354,EX CTG PILIYANDALA,"No. 120, CT Gardens,Gangarama Road,Thumbowila,Piliyandala.",6.8017575,79.9227313,Cargills,2/25/2025
1346,EX MAWARAMANDIYA,"No. 470,Delgoda Road,Mawaramandiya.",6.9896112,79.9738229,Cargills,2/25/2025
1465,FC DALUGAMA,"No.334/ Dalugama, Kelaniya",6.9517846,79.9132991,Cargills,2/25/2025
1362,EX PITIPANA,No. 254/ F - Avissavella rd. Homagama.,6.8444164,80.0065919,Cargills,2/25/2025
1347,EX MULLERIYAWA,"No. 378 / Avissawella Rd, mulleriyawa, angoda.",6.9367411,79.9270364,Cargills,2/25/2025
1363,EX SIDDAMULLA,"No: 77, Sangarama Road,Siddamulla,Piliyandala.",6.8017575,79.9227313,Cargills,2/25/2025
1473,FC STANLY TMW,"No. 143/5A, Stanly Thilakarathna Mawatha, Nugegoda.",6.8649081,79.8996789,Cargills,2/25/2025
1378,EX RUKMALGAMA,"No. 33A,107/108,Rukmalgama,Pannipitiya.",6.8463993,79.9484346,Cargills,2/25/2025
1380,EX POKUNUWITA,"No.07, Colombo Road, Pokunuwita",6.7288686,80.0297389,Cargills,2/25/2025
1447,FC KOTTAWA 02,"No. 867, High level Road,Kottawa.",6.8411652,79.9654324,Cargills,2/25/2025
1382,EX ARANGALA,"No. 462/2, Arangala Junction,Hokandara",6.8743192,79.9696277,Cargills,2/25/2025
1479,FC THALAHENA,"No. 723, Thalangama North,Thalahena",6.9123126,79.9514464,Cargills,2/25/2025
1392,EX GONAPOLA,"No 105, Horana Road, Gonapola",6.7563403,80.0171609,Cargills,2/25/2025
1396,EX HAVELOCK CITY,"Club House Building, No. 324 ,Havelock city , Wellawatta.",6.8755308,79.8609984,Cargills,2/25/2025
1487,FC PELAWATTA 02,"No.470,  PANNIPITIYA ROAD, PELAWATTA",6.40053,80.2120618,Cargills,2/25/2025
1489,FC UDAHAMULLA,"NO. 465& 481. OLD KOTTAWA ROAD,Udahamulla",6.8665559,79.9150724,Cargills,2/25/2025
1730,EX PANNIPITIYA OLD ROAD,"No 257, Old Road, Moraketiya,  Pannipitiya.",6.8463993,79.9484346,Cargills,2/25/2025
1491,FC WERAHERA,"NO.202,PLILIYANDALA RD,WERAHERA,BORALESGAMUWA.",6.8409891,79.9017187,Cargills,2/25/2025
1747,EX ICONIC RESIDENCE,"Iconic Residance , No 110, Parliament Rd , Rajagiriya",6.9094108,79.8942538,Cargills,2/25/2025
1744,EX RAJAGIRIYA FAIRWAY,"No39, Perera Mawatha , Kotuwegoda",5.9450937,80.5528729,Cargills,2/25/2025
1496,FC KAWDANA,"No.10 Attidiya Rd,Kawdana",6.8384853,80.3039419,Cargills,2/25/2025
1750,EX MAGAMMANA,"No. 342/1 , Kahathuduwa Road ,Magammana ,Homagama",6.8432762,80.0031833,Cargills,2/25/2025
1551,FC PILIYANDALA 02,"No.134,Moratuwa Rd,Piliyandala",6.8017575,79.9227313,Cargills,2/25/2025
1493,FC HOMAGAMA 02,"NO.100, HIGHLEVEL ROAD, HOMAGAMA",6.8432762,80.0031833,Cargills,2/25/2025
1557,FC THALAPATHPITIYA,"270/D, Thalapathpitiya Rd, Thalapathpitiya",6.8693785,79.9234678,Cargills,2/25/2025
1752,EX KALUBOWILA,"No.2/A, Peris Rd, Kalubovila, Dehiwala",6.8559485,79.8629683,Cargills,2/25/2025
1568,FC MILLENNIUM CITY,"No.383,Millennium City,Oruwala,Athurugiriya",6.8723185,80.0003875,Cargills,2/25/2025
1561,FC WELLAMPITIYA,"No.214, Colombo Road, Wellampitiya.",6.9424282,79.9045771,Cargills,2/25/2025
1569,FC ARAWWALA,"No: 675/1, Arawwala,Pannipitiya",6.8463993,79.9484346,Cargills,2/25/2025
1575,FC HOKANDARA,"No: 450, Pannipitiya Rd, Hokandara",6.8743192,79.9696277,Cargills,2/25/2025
1563,FC WIJERAMA 02,"No: 562, Gangodawila, Nugegoda",6.8649081,79.8996789,Cargills,2/25/2025
1564,FC KOLAMUNNA,"No: 78/E, Madapatha Rd, Kolomunna",7.873054,80.771797,Cargills,2/25/2025
1580,FC KATTIYA JUNCTION,"No.30,Old kesbewa road ,Gangodawila,Nugegoda.",6.8649081,79.8996789,Cargills,2/25/2025
1582,FC GODAGAMA,"No. 179/1 ,Borella Road ,Godagama",6.8516746,80.0327001,Cargills,2/25/2025
1558,FC KOSWATTE 02,"No. 07&7/3 ,Denzil Kobbekaduwa Mawatha ,Koswatta",6.908863,79.9313567,Cargills,2/25/2025
1588,FC HOMAGAMA 03,"192,ATHURUGIRIYA RD, HOMAGAMA",6.8432762,80.0031833,Cargills,2/25/2025
1578,FC KELANIYA 02,"No.284, Old Kandy Road,Kelaniya",6.9517846,79.9132991,Cargills,2/25/2025
1583,FC SARANANKARA ROAD,"No :23 Sri Saranankara Rd, Kalubovila, Dehiwala",6.8559485,79.8629683,Cargills,2/25/2025
1590,FC ATHURUGIRIYA 02,"No.91, Godagama Rd, Athurugiriya",6.8723185,80.0003875,Cargills,2/25/2025
1542,FC KADUWELA 02,"No: 134 Colombo Rd,Kaduwela",6.929061,79.9827754,Cargills,2/25/2025
1541,FC HIMBUTANA,"No. 174 ,Himbutana Road ,Mulleriyawa.",7.873054,80.771797,Cargills,2/25/2025
1596,FC MALABE 03,"No. 412/2  A-B ,Athurugiriya Road, Malabe.",6.9060787,79.9696277,Cargills,2/25/2025
1903,FC KOTIKAWATTA 02,"No.161 kudabothgamuwa, Angoda",6.9367411,79.9270364,Cargills,2/25/2025
1771,EX JAYA MAWATHA,"No.1794, Jaya Mawatha, Dedigamuwa",6.898019,80.026944,Cargills,2/25/2025
1540,FC DEPANAMA,DEPANAMA,6.8604633,79.9446302,Cargills,2/25/2025
1547,FC GOTHATUWA IDH,GOTHATUWA IDH,6.9288713,79.9027493,Cargills,2/25/2025
1618,FC POLGASOWITA,POLGASOWITA,6.7899358,79.9808143,Cargills,2/25/2025
1652,FC KIRIBATHGODA 03,KIRIBATHGODA,6.9778284,79.9271523,Cargills,2/25/2025
1654,FC MAHARA,MAHARA,6.9908661,79.9395566,Cargills,2/25/2025
1657,FC OBESEKARAPURA,OBESEKARAPURA,6.9189465,79.8898816,Cargills,2/25/2025
1665,FC KIRIBATHGODA 04,KIRIBATHGODA ,6.9778284,79.9271523,Cargills,2/25/2025
1679,FC HOKANDARA 02,HOKANDARA ,6.8743192,79.9696277,Cargills,2/25/2025
1681,FC PITAKOTTE 02,PITAKOTTE ,6.8808992,79.9052768,Cargills,2/25/2025
1682,FC DELKANDA 02,DELKANDA ,7.327277,80.6382627,Cargills,2/25/2025
1683,FC ATTIDIYA 02,ATTIDIYA ,6.8261828,79.881483,Cargills,2/25/2025
1698,FC KOTTAWA 03,KOTTAWA ,6.8411652,79.9654324,Cargills,2/25/2025
1794,EX MILLENNIUM CITY,MILLENNIUM CITY,7.121557,79.9101748,Cargills,2/25/2025
1833,EX NSBM,NSBM,6.8202297,80.0395329,Cargills,2/25/2025
1894,EX HOMAGAMA (KATUWANA ROAD),HOMAGAMA (KATUWANA ROAD),6.8341477,80.0039686,Cargills,2/25/2025
1907,FC RAJAGIRIYA 03,RAJAGIRIYA ,6.9094108,79.8942538,Cargills,2/25/2025
SFGL,Galle,"No. 46, Colombo Road, Kaluwella, Galle",6.0328948,80.2167912,Keels,2/25/2025
SKK2,Kandy,"No. 489, William Gopallawa Mawatha, Kandy",7.2905715,80.6337262,Keels,2/25/2025
SKKA,Kandy,"City Centre Compex, Level 1, L1 -14, Kandy (Pvt) Ltd, Kandy",7.2905715,80.6337262,Keels,2/25/2025
SMMR,Matara,"No. 227, Anagarika Dharmapala Mawatha, Nupe, Matara",5.9496309,80.5468529,Keels,2/25/2025
SRRP,Rathnapura,"No. 09, Panadura Road, Moragahayata, Rathnapura",6.7055742,80.3847345,Keels,2/25/2025
SFGA,Galle,"No. 465,Wackwella Road, Kalegana, Galle",6.0328948,80.2167912,Keels,2/25/2025
SIKS,Kaluthara,"No. 735, Galle Road, Wettumakada, Kauthara South, Kaluthara",6.5853948,79.96074,Keels,2/25/2025
SCMW,Moratuwa,"No. 16, St Peters Road, Moratuwa",6.7880706,79.8912813,Keels,2/25/2025
SNRU,Kurunegala,"No. 41, Bauddhaloka Mawatha, Kurunegala",7.4817695,80.3608876,Keels,2/25/2025
SIBE,Beruwala,"No. 167, Galle road, Beruwala",6.4738379,79.9919995,Keels,2/25/2025
SMMS,Matara,"No 361, Welewatta Matara",5.9471016,80.5625956,Keels,2/25/2025
SYMT,Matale,"11, Nagolla Road, Mathale",7.467465,80.6234161,Keels,2/25/2025
SGKC,Kochchikade,"21, Negembo Road, Kochchikade",7.2657063,79.8591235,Keels,2/25/2025
