CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,APPROVE
A06,Panadura SC,"542 Galle Rd, Panadura",6.7843722,79.8844947,Arpico,True
A07,Kottawa SS,"296 Avissawella Rd, Pannipitiya",6.8396269,79.9704829,Arpico,True
A08,Galle SC,"181 Matara Rd, Galle",6.0371021,80.2301069,Arpico,True
A09,Malabe SS,"No. 741, Malabe",6.9060787,79.9696277,Arpico,True
A10,Kurunegala SC,"F9G4+XXF, 3 වන පටුමග, Kurunegala",7.4817695,80.3608876,Arpico,True
A11,Kohuwala SC,"S, 89 S. De S. Jayasinghe Mawatha, Dehiwala-Mount Lavinia",6.8668379,79.8835653,Arpico,True
A12,Homagama SC,"47 Avissawella Rd, Homagama 10200",6.8415868,80.0038446,Arpico,True
A13,Yakkala SS,"32MH+6XF, Yakkala",7.0864153,80.0335107,Arpico,True
A14,Kegalle SC,"783R+FH7 Arpico super center, Kegalle",7.2536707,80.3414294,Arpico,True
A15,Thalawathugoda SC,"junction, 1034/V, Kumarage watta, Battaramulla - Pannipitiya Rd, Sri Jayawardenepura Kotte",6.8948714,79.9245846,Arpico,True
A16,Wattala-2 ADA,"Gemunu Palace Cinema, Near, Negombo - Colombo Main Rd, Wattala 11300",6.9876452,79.8906164,Arpico,True
A17,Kochchikade SC,"7V97+P4M, Negombo",7.2055208,79.8512562,Arpico,True
A18,Kundasale SS,"7MJF+2X3, Nattarampota 20168",7.2808949,80.675692,Arpico,True
A19,Katugastota SC,"Nittawela Junction Bus Stop, Katugastota Rd, Kandy",7.3140482,80.6320582,Arpico,True
A20,Minuwangoda SC,"5WCV+M93, Katunayake Road, Minuwangoda",7.1958851,79.8734317,Arpico,True
A21,Katukurunda SC,Katukurunda 12000,6.549971,79.9836108,Arpico,True
A22,Seeduwa SC,"No: 600 Negombo Rd, Seeduwa 11410",7.1485497,79.8731572,Arpico,True
A23,Kiribathgoda SS,"123 Kandy Rd, Kelaniya 11600",6.9759938,79.9253403,Arpico,False
A24,Ragama Daily,Arpico Daily - Ragama,7.0274426,79.924997,Arpico,True
A25,Athurugiriya Daily,112 Athurugiriya Rd,6.8784063,79.9886906,Arpico,True
A26,Weliweriya Daily,"132/24 B New Kandy Rd, Weliweriya",7.0326711,80.0277482,Arpico,True
A27,Kuliyapitiya Daily,"F2FW+926, Kuliyapitiya",7.472123,80.0446221,Arpico,True
A28,Ambalangoda Daily,"63M3+5RF, Ambalangoda",6.2441521,80.0590804,Arpico,True
A29,Wennapuwa Daily,"8RXQ+WCG, Peragas Junction, Road,, Wennappuwa",7.3493037,79.8352767,Arpico,True
A30,Aththiditya Daily,"RVMP+76X, B389, Dehiwala-Mount Lavinia",6.8439531,79.8847187,Arpico,False
A31,Kandana Daily,"88 Negombo Rd, Kandana",7.0513293,79.896463,Arpico,True
A32,Mulleriyawa Daily,"WWGM+Q8M, Colombo",6.9270786,79.861243,Arpico,False
A33,Chilaw Daily,"HQGX+H9P, Chilaw",7.5619894,79.8016569,Arpico,True
A34,Ambatenna Daily,"48 Matale Rd, Ambatenna",7.3480977,80.6166705,Arpico,True
A35,Watareka Daily,"Avissawella Rd, Padukka",6.8584121,80.0911024,Arpico,True
A36,Rathnapura Main Arpico Daily,Arpico Daily - Ratnapura,6.6791867,80.405043,Arpico,True
A37,Anuradhapura Arpico Daily,"Anuradhapura, Sri Lanka",8.3113518,80.4036508,Arpico,True
A38,Pelmadulla Arpico Daily,"Pelmadulla Division, Ratnapura, Sri Lanka",6.7055742,80.3847345,Arpico,False
A39,Battaramulla,Battaramulla,6.8979941,79.9222869,Arpico,True
A40,Arpico SuperCentre Dehiwala,"Arpico SuperCentre, Dehiwala",6.846739,79.8662806,Arpico,True
A41,Arpico SuperCentre Gampaha,"Arpico SuperCentre, Gampaha",7.091704,79.99962,Arpico,True
A42,Arpico SuperCentre Wellawatte,"Arpico SuperCentre, Wellawatte",6.8740921,79.8604934,Arpico,True
A43,Arpico SuperCentre Negombo,"Arpico SuperCentre, Negombo",7.207204,79.843088,Arpico,True
A44,Arpico SuperCentre Kandy,"Arpico SuperCentre, Kandy",7.2808433,80.6204147,Arpico,True
A45,Arpico SuperCentre Piliyandala,"Arpico SuperCentre, Piliyandala",6.7985816,79.9297499,Arpico,True
A46,Arpico SuperCentre Kalutara,"Arpico SuperCentre, Kalutara",6.5587753,79.9685209,Arpico,True
A47,Arpico SuperCentre Gelioya,"Arpico SuperCentre, Gelioya",7.2153151,80.5979973,Arpico,True
A48,Arpico SuperCentre Haloluwa,"Arpico SuperCentre, Haloluwa",7.2808433,80.6204147,Arpico,True
1017,FC STAPLES STREET,"21,  Staples  Street,  Colombo  02",6.9201983,79.855668,Cargills,True
1018,FC KANDY,"3 ,  Dalada  Veedia ,  Kandy .",7.2931101,80.6358952,Cargills,True
1033,FC MAJESTIC CITY,"Majestic  City  ,  10 , Station Road , Colombo  04",6.8934945,79.8544367,Cargills,True
1015,FC BANDARAWELA,"7 , Welimada  Road ,  Bandarawella",6.8311676,80.9887048,Cargills,True
1020,FC NUWARA ELIYA,"90 , Kandy  Road ,  Nuwaraeliya .",7.2310915,80.2450189,Cargills,False
1005,FC FORT,"40 , York Street ,  Fort ,  Colombo  01",6.9378136,79.8436796,Cargills,True
1076,FC KURUNEGALA,"44 , Negombo  Road , Kurunegala .",7.4853801,80.3557181,Cargills,True
1083,FC MATARA,"60 , Anagarika Dharmapala Mw , Matara .",5.9468144,80.5316171,Cargills,True
1084,FC WATTALA,"315 , Negombo  Road , Wattala .",6.9887181,79.8913253,Cargills,True
