ADDRESS,BRAND,CODE,DISTRICT,LATITUDE,LOCATION,LONGITUDE
"No. 175/12, Malambe Road, Athurugiriya",Keels,SCA2,Colombo,6.8723185,Athurugiriya 2,80.0003875
"No. 730, Malabe Road, Arangala, Athurugiriya",Keels,SCAR,Colombo,6.8860799,Arangala,79.9626354
"No. 105/1, Kesbewa Road, Katuwala, Boralasgomuwa",Keels,SCBL,Colombo,6.8525143,Boralasgomuwa,79.8976618
"No. 89, Crescat Boulevard, Galle Road, Colombo 03",Keels,SCCC,Colombo,6.9171044,Crescat,79.8481871
"No. 531, Capital Mall, Madiwela Road, Thalawathugoda",Keels,SCCM,Colombo,6.8733711,Thalawathugoda,79.9171546
"No. 268, Sir D.B. Jayathilake Mawatha, (Hill Street), Dehiwala",Keels,SCDE,Colombo,6.8501667,Dehiwala,79.8725682
"No. 303, Old Kottawa Road, Embuldeniya",Keels,SCED,Colombo,6.8675496,Embuldeniya,79.9100845
"No.315,High level road,Gangodawila,Nugegoda",Keels,SCGS,Colombo,6.8693128,Gamsabha,79.8894317
"No. 375/10A, Highlevel Road, Makumbura, Pannipitiya",Keels,SCHG,Colombo,6.838935,Homagama,79.9784204
"No. 228, Havelock Road, Colombo 05",Keels,SCHR,Colombo,6.8872296,Havelock Road,79.8647003
"No. 01, Bonjeang Road, Colombo 13",Keels,SCKE,Colombo,6.9481824,Kotahena,79.8615896
"No. 135, Dutugemunu Mawatha, Kohuwala",Keels,SCKH,Colombo,6.8798307,Kohuwala,79.9029517
"No. 53, Hospital Road , Kalubowila, Dehiwala",Keels,SCKL,Colombo,6.8660607,Kalubowila,79.8753067
"No. 581, Kotte Road , Pitakotte",Keels,SCKO,Colombo,6.8845527,Kotte,79.9019512
"No. 340, K- Zone, Lakshapathiya, Moratuwa",Keels,SCM2,Colombo,6.7998133,Moratuwa Mall,79.8842826
"No. 184, Dehiwala Road, Maharagama",Keels,SCM3,Colombo,6.8423416,Maharagama 2,79.91794
"No. 35, Upathissa Road, Bambalapitiya, Colombo 04",Keels,SCMD,Colombo,6.8896173,Marine Drive,79.8553873
