,0,3,4,5,10,105,106,108,109,110,111,112,113,114,115,116,117,119,121,122,123,127,128,14,150,152,156,161,163,167,168,171,172,174,175,181,188,190,191,22,23,24,25,26,27,76,79,80,14001,14003,14004,14005,14006,14007,14008,14009,14010,14011,14012,14013,14014,14015,SCA2,SCAR,SCBL,SCCC,SCCM,SCDE,SCED,SCGS,SCHG,SCHR,SCKE,SCKH,SCKL,SCKO,SCM2,SCM3,SCMD,SCMG,SCML,SCNW,SCPK,SCPN,SCPT,SCPY,SCRJ,SCRM,SCRT,SCSJ,SCTB,SCTH,SCUP,SCWJ,SFGL,SGKB,SGKY,SGMH,SGWA,SIP2,SKK2,SKKA,SMMR,SCK3,SCTG,SGKR,SRRP,SGEM,SGKG,SFGA,SIKS,SCET,SGTY,SCMW,SNRU,SCKZ,SIBE,SGRA,SCGT,SMMS,SCAD,SIP4,SYMT,SGGP,SCGO,SGKC,SINL,SIAL,SCWP,SCPI,SLKV,SGMI,SREP,SGJA,SPWN,SCMU,SNRN,SIGN,SGN2,SKGZ,SPCH,SCKJ,SGRD,SGND,SGEL,SCBI,SREG,SPMV,SYMX,SKKM,SIHZ,SPPU,SGMP,SCAK,SCDR,SGTI,SCSL,SHTA,SCPA,SCMY,SGNK,SGJW,SGSE,SCTL,SLMN,SKKI,SGNO,SCAV,SGSM,SFK4,SFAB,SCHD,SCVJ,SGMQ,SCBT,SIWD,SGK5,SMMC,SCK6,SCMF,SIWK,SCDP,SAAP,SCKX,SCPO,SRRR,SGYK,SCK7,SCNG,SCTU,SGDL,SGGE,SCCR,1017,1018,1033,1015,1020,1005,1076,1083,1084,1106,1104,1105,1107,1201,1301,1111,1114,1108,1117,1109,1115,1113,1133,1303,1124,1305,1116,1121,1130,1138,1120,1137,1308,1139,1145,1125,1146,1157,1158,1153,1159,1150,1164,1170,1169,1187,1186,1188,1316,1199,1162,1278,1279,1281,1288,1286,1289,1294,1291,1292,1297,1298,1412,1419,1411,1422,1320,1432,1425,1424,1433,1323,1428,1321,1322,1319,1434,1431,1327,1326,1435,1429,1331,1430,1443,1439,1446,1448,1341,1342,1453,1343,1457,1339,1335,1338,1455,1350,1324,1352,1353,1464,1155,1444,1349,1460,1355,1466,1364,1375,1459,1467,1379,1357,1469,1370,1372,1366,1381,1371,1148,1471,1377,1470,1368,1383,1360,1386,1385,1475,1387,1484,1481,1394,1393,1717,1726,1727,1728,1724,1490,1718,1735,1739,1736,1741,1738,1743,1745,1746,1749,1550,1559,1498,1571,1567,1584,1576,1756,1579,1760,1589,1592,1759,1763,1762,1597,1768,1902,1766,1546,1594,1770,1548,1545,1761,1600,1773,1608,1774,1616,1776,1772,1777,1497,1549,1555,1607,1614,1619,1650,1651,1655,1659,1661,1663,1664,1667,1669,1670,1671,1672,1676,1678,1680,1695,1697,1779,1780,1781,1782,1783,1784,1785,1787,1788,1790,1791,1795,1796,1797,1799,1800,1801,1802,1803,1806,1807,1809,1810,1816,1818,1825,1826,1828,1834,1836,1840,1841,1842,1843,1844,1845,1847,1850,1852,1853,1854,1858,1859,1862,1864,1866,1867,1869,1872,1885,1887,1888,1891,1892,1896
0,0.0,9.14,32.4,21.23,31.52,127.11,46.63,23.46,101.87,19.12,81.45,29.17,24.03,17.89,73.69,24.7,9.14,42.5,133.94,120.23,39.37,58.35,24.69,5.84,4.56,20.51,15.53,93.95,87.34,55.44,36.38,11.51,18.96,88.31,123.75,32.95,93.13,208.22,112.06,24.88,30.9,16.38,27.85,33.1,118.71,32.34,53.56,118.78,27.55,20.23,114.44,81.45,23.46,33.1,24.55,35.66,19.12,21.54,24.7,11.51,117.09,9.14,20.51,20.31,31.1,22.55,28.62,31.92,30.21,27.0,22.15,25.56,17.27,28.19,27.95,26.48,40.23,30.86,25.44,29.96,29.03,22.01,22.53,24.6,22.54,28.09,21.19,36.14,32.59,21.83,22.64,22.37,20.75,31.39,102.07,6.75,14.61,8.08,8.92,68.07,115.63,118.71,125.46,24.2,25.05,9.14,92.21,5.24,6.03,105.51,56.42,23.92,6.91,43.64,82.0,33.4,69.5,5.76,21.54,131.53,31.57,43.45,142.37,16.6,24.0,17.9,68.07,68.09,20.41,32.34,71.85,34.84,174.12,16.84,53.51,17.71,82.8,46.14,36.5,125.54,86.51,33.4,30.05,35.34,4.94,22.55,64.28,64.24,141.07,119.17,33.41,134.61,14.77,22.02,18.98,22.94,18.72,145.56,32.21,15.07,31.68,14.38,22.54,22.53,22.55,116.21,21.9,46.83,15.18,102.87,86.47,22.84,22.53,7.92,25.23,68.07,8.79,126.32,37.55,30.05,50.09,24.72,208.59,14.59,26.48,93.22,16.52,16.99,26.54,23.72,29.67,12.63,20.42,21.65,119.09,25.26,197.07,55.05,20.29,82.87,126.95,17.9,31.92,93.13,24.35,22.64,127.11,16.77,71.85,67.56,17.33,87.34,22.7,69.5,118.39,46.36,20.25,144.13,24.97,50.94,102.28,24.81,174.12,209.22,15.07,24.81,136.84,18.98,229.94,263.39,105.16,133.63,149.2,125.73,187.96,131.21,127.44,145.68,103.67,66.29,122.86,251.38,87.94,247.85,93.52,92.21,66.4,318.02,65.14,111.34,350.48,24.95,15.86,254.33,169.87,60.65,22.62,24.44,433.65,21.51,427.62,371.67,377.1,19.45,20.78,107.56,83.44,67.09,136.71,211.21,357.74,34.92,80.33,203.83,312.5,66.98,119.71,71.34,323.3,20.08,302.88,103.54,429.75,375.47,140.74,203.76,159.12,160.41,18.43,435.2,143.81,44.92,54.05,54.05,137.67,172.7,102.24,77.59,118.39,15.4,87.34,19.31,235.19,120.62,113.36,122.86,126.1,118.59,96.51,80.23,103.56,157.0,125.73,426.17,20.37,90.52,217.31,135.47,234.02,116.21,92.62,176.86,52.5,97.88,31.69,144.13,103.33,161.4,120.74,148.82,64.24,15.4,101.87,70.9,123.25,81.8,32.26,220.71,339.22,375.9,158.91,20.32,17.57,110.58,129.8,208.22,81.45,132.92,71.84,209.78,93.5,202.2,130.03,52.41,67.9,104.84,18.28,87.81,23.54,88.29,75.67,22.22,94.78,94.48,26.15,136.4,14.26,17.57,20.78,113.34,99.14,24.35,31.92,207.71,16.65,101.6,167.95,16.78,16.32,15.67,124.1,18.92,93.95,26.47,103.67,127.87,144.13,22.26,108.02,100.94,49.1,229.41,57.55,90.6,21.76,21.17,19.34,81.45,258.85,145.98,163.96,146.56,85.51,210.55,205.72,63.48,104.8,82.97,229.41,174.3,92.44,171.24,109.81,90.16,146.56,103.55,142.78,81.16,145.98,119.3,150.45,92.39,58.52,138.8,19.52,73.58,23.3,110.34,264.01,35.56,32.95,179.5,136.17,143.7,85.38,86.12,95.05,379.52,150.97,144.32,75.15,182.62,21.02,92.7,332.1,265.61,429.26,201.85,19.89,359.4,80.88,24.36,280.76,25.57,15.12
3,9.14,0.0,25.72,14.04,25.25,135.42,48.87,31.77,110.18,25.82,89.76,22.49,32.34,26.2,82.0,24.32,0.0,39.69,142.25,128.54,36.38,66.66,21.59,5.58,8.27,28.82,23.84,94.41,95.64,52.63,29.7,8.4,16.27,85.5,132.06,41.26,100.73,216.53,120.37,18.92,24.23,24.69,21.17,30.29,127.02,31.33,61.87,127.09,20.87,13.03,122.75,89.76,31.77,30.29,17.87,28.98,25.82,14.86,24.32,8.4,125.4,0.0,28.82,27.35,24.42,15.16,24.33,25.24,23.53,20.32,30.46,18.88,9.89,21.51,21.27,19.8,33.55,28.04,18.76,26.81,22.35,15.33,26.11,31.52,21.6,21.41,14.51,29.46,25.91,15.15,15.96,21.77,13.55,24.71,110.38,6.54,10.22,4.98,0.65,76.38,123.94,127.02,133.77,32.51,23.78,0.0,100.52,5.5,5.45,113.82,64.73,17.24,5.36,37.4,90.31,34.51,77.81,7.25,14.96,139.84,24.89,50.13,150.68,24.91,32.32,14.8,76.38,76.4,13.73,31.33,80.16,31.85,182.43,13.73,50.7,15.02,91.11,39.89,33.69,133.84,83.7,34.51,23.37,32.53,13.25,21.75,71.88,61.44,149.38,127.48,41.72,142.92,23.08,25.08,11.79,31.25,11.52,153.87,31.14,6.8,28.87,11.27,19.44,26.11,21.75,124.52,18.8,54.42,13.59,111.18,94.79,25.24,26.11,14.91,23.96,76.38,17.11,134.63,34.08,28.25,58.4,18.04,216.91,22.19,19.8,101.53,24.83,9.6,19.86,16.62,26.56,19.0,13.74,14.46,127.4,18.58,205.38,63.36,12.9,91.18,135.26,14.8,25.24,100.73,17.16,15.96,135.42,10.09,80.16,75.87,9.94,95.64,16.02,77.81,126.7,54.67,13.06,152.44,18.29,58.54,110.59,18.13,182.43,217.53,6.8,18.13,145.15,11.79,238.25,271.7,113.47,141.94,157.51,134.04,196.27,138.8,135.75,153.99,111.98,73.89,130.46,259.69,96.25,256.16,93.98,100.52,66.86,326.33,73.45,119.64,358.79,18.27,8.47,262.64,178.18,68.25,15.94,17.25,441.97,14.83,435.93,379.98,385.41,12.25,14.1,115.86,91.04,75.4,145.02,219.52,366.05,33.81,88.64,211.42,320.81,75.29,128.02,79.65,331.61,13.4,311.19,111.85,438.06,383.78,149.05,212.07,167.44,168.72,24.63,443.51,152.12,53.23,62.36,62.36,145.98,181.01,110.55,85.89,126.7,22.0,95.64,12.12,243.5,128.93,121.67,130.46,134.41,126.9,104.82,87.82,111.87,165.3,134.04,434.48,13.69,98.83,225.62,143.78,242.33,124.52,100.94,185.18,60.81,106.19,25.01,152.44,111.64,169.71,129.05,146.01,72.55,8.72,110.18,79.21,131.56,90.11,33.36,229.02,347.53,384.22,167.22,15.7,10.18,118.89,138.11,216.53,89.76,141.23,80.15,218.09,101.81,210.51,138.34,60.01,76.21,113.15,11.09,96.12,31.85,96.6,83.98,15.03,103.09,102.79,19.47,144.7,21.77,10.18,14.1,121.65,107.45,17.16,25.24,216.02,9.97,109.91,176.26,10.1,23.92,8.28,132.41,12.24,94.41,19.79,111.98,136.18,152.44,15.06,116.33,109.24,56.7,237.72,65.86,98.91,14.37,14.49,26.93,89.76,267.16,154.29,172.27,154.87,93.81,218.86,214.03,71.79,113.11,91.28,237.72,182.61,100.75,168.44,118.11,98.47,154.87,111.86,151.09,89.47,154.29,127.61,158.76,100.7,66.83,147.11,12.13,81.18,16.11,118.65,272.32,43.87,41.26,187.81,144.48,152.01,93.69,94.43,103.36,387.83,159.28,152.63,83.46,190.93,14.34,101.02,340.41,273.92,437.57,210.16,13.21,367.72,89.19,17.68,289.07,33.88,8.44
4,32.4,25.72,0.0,15.92,6.38,117.03,27.71,11.33,91.79,22.71,108.01,5.06,16.34,44.45,100.25,13.95,25.55,56.69,160.5,146.79,57.56,48.27,42.65,27.86,33.82,19.59,39.86,111.41,77.25,69.63,7.44,33.95,20.85,102.5,150.31,27.77,84.16,234.78,100.88,14.79,8.19,42.94,10.19,47.29,145.27,5.93,40.26,145.34,5.94,16.33,141.0,108.01,11.33,47.29,11.34,6.72,22.71,13.29,13.95,33.95,143.65,25.55,19.59,16.1,2.0,14.9,9.13,5.36,7.36,6.3,12.04,9.45,21.08,8.86,6.65,8.11,12.39,2.62,11.79,4.82,8.97,13.01,15.73,9.54,17.86,4.33,13.45,9.03,0.18,13.62,11.31,18.03,16.58,4.18,91.99,28.81,25.0,30.52,25.17,57.98,142.19,145.27,115.38,10.77,13.41,25.55,81.03,30.48,27.72,95.42,43.13,9.17,26.56,16.24,108.56,9.11,56.45,32.8,19.05,121.44,3.43,28.97,168.93,43.16,16.31,35.86,57.98,58.01,21.6,5.93,98.41,53.03,162.94,34.91,67.7,20.04,109.36,18.73,50.69,148.28,100.7,9.11,5.93,49.53,31.5,18.01,72.41,78.44,167.63,145.73,22.07,161.17,41.33,18.49,17.44,49.5,17.18,135.47,5.74,25.5,45.87,36.82,40.5,15.73,18.01,142.77,36.28,54.96,29.26,92.79,76.39,14.87,15.73,36.46,13.42,57.98,35.36,116.23,11.04,4.18,36.79,12.76,235.16,24.64,8.11,82.04,43.08,21.95,7.42,12.01,47.74,40.8,14.2,16.43,145.65,12.71,185.89,81.61,17.94,109.43,116.87,35.86,7.51,84.16,13.7,11.31,117.03,18.76,98.41,57.48,21.03,77.25,9.96,56.45,144.95,72.92,15.51,170.69,8.37,59.07,92.2,12.26,162.94,235.78,25.5,12.26,125.66,16.12,218.76,289.95,131.72,160.19,139.12,152.29,177.88,139.33,154.0,135.6,93.59,74.42,130.99,277.94,114.5,274.41,110.98,81.03,83.86,344.58,55.05,137.9,349.52,11.75,20.29,243.15,196.43,68.78,11.18,13.3,460.22,14.82,454.18,360.49,382.29,16.69,13.46,134.11,83.38,79.66,163.27,237.77,384.3,8.41,93.91,210.2,339.06,56.9,146.27,97.9,312.12,14.82,329.44,130.1,456.31,368.56,130.66,193.68,149.04,186.97,30.05,461.76,170.37,71.48,43.97,43.97,164.23,162.62,92.16,67.5,144.95,27.02,77.25,16.63,224.0,110.54,139.92,130.99,152.66,108.51,86.43,88.36,93.48,183.55,152.29,452.73,14.53,117.08,206.13,124.29,260.58,142.77,119.19,166.78,42.41,87.8,7.25,170.69,129.89,187.96,147.3,163.01,51.2,17.99,91.79,97.46,113.16,108.36,7.96,210.62,365.73,382.22,185.47,18.12,18.71,137.14,119.72,234.78,108.01,159.48,98.4,236.34,82.32,191.02,119.95,60.54,57.82,131.4,17.32,77.73,15.84,114.85,65.59,15.25,84.69,83.3,11.76,162.95,24.8,19.24,13.46,139.9,89.06,13.7,5.36,234.27,18.96,91.52,194.51,18.04,26.94,20.79,148.92,18.69,111.41,8.43,93.59,117.79,170.69,15.59,134.58,90.85,57.23,218.22,47.47,117.16,16.66,12.9,25.55,108.01,277.88,135.9,152.78,136.48,75.42,237.11,232.28,53.4,94.71,72.89,218.22,163.12,119.0,185.44,99.72,80.08,173.12,93.47,131.6,94.73,135.9,109.22,140.37,82.31,85.08,165.36,19.64,81.71,14.69,136.9,290.57,25.48,27.77,169.42,126.08,170.26,111.94,112.68,84.97,368.34,140.89,134.24,88.73,209.18,14.3,82.62,358.66,292.17,455.82,191.77,16.07,385.97,107.44,10.38,307.32,14.78,18.82
5,21.23,14.04,15.92,0.0,17.2,132.81,37.52,25.87,107.57,19.59,102.08,12.88,30.72,38.52,94.31,16.88,15.0,46.52,154.57,140.86,47.38,64.05,32.47,17.68,23.27,25.97,36.16,101.24,93.04,59.46,19.67,23.4,16.9,92.32,144.38,38.41,99.94,228.85,116.66,11.48,12.88,37.01,9.82,37.12,139.34,21.72,55.7,139.41,12.82,3.26,135.06,102.08,25.87,37.12,10.43,18.4,19.59,5.06,16.88,23.4,137.72,15.0,25.97,20.3,15.54,3.44,16.9,13.9,16.1,12.28,26.58,8.03,7.78,14.07,11.36,12.36,22.2,18.42,7.42,18.77,11.0,7.9,18.67,24.08,14.55,11.8,7.27,18.11,16.29,7.71,7.1,14.72,1.36,16.67,107.77,18.63,14.82,19.97,14.62,73.77,136.26,139.34,131.16,25.31,16.34,15.0,96.81,19.93,17.55,111.21,58.57,9.45,16.38,26.05,102.63,24.89,71.89,22.25,13.3,137.23,15.28,38.78,163.0,37.23,30.85,25.68,73.77,73.79,13.76,21.72,92.48,42.85,178.72,24.73,57.52,15.85,103.42,28.54,40.52,146.16,90.52,24.89,13.46,39.35,25.57,14.7,73.64,68.26,161.7,139.8,37.85,155.24,35.39,17.65,3.59,43.56,3.26,151.26,21.52,14.0,35.69,26.27,30.32,18.67,14.7,136.84,26.11,56.19,20.89,108.57,92.17,17.81,18.67,27.01,16.52,73.77,29.42,132.02,22.74,19.98,52.23,6.7,229.22,23.95,12.36,97.82,37.15,8.84,12.07,5.3,37.56,33.42,6.5,1.26,139.72,7.23,201.68,75.67,4.37,103.5,132.65,25.68,13.89,99.94,4.66,7.1,132.81,6.33,92.48,73.26,7.73,93.04,8.23,71.89,139.01,66.99,2.52,164.75,7.74,60.3,107.98,6.78,178.72,229.84,14.0,6.78,141.44,4.03,234.55,284.02,125.79,154.26,154.91,146.36,193.66,140.57,148.06,151.38,109.37,75.65,132.22,272.0,108.57,268.48,100.81,96.81,73.68,338.64,70.84,131.96,365.31,6.93,6.99,258.94,190.5,70.02,6.06,4.65,454.28,7.39,448.24,376.27,398.07,3.49,6.31,128.18,92.81,80.9,157.34,231.84,378.37,24.2,95.14,213.19,333.12,72.68,140.34,91.97,327.9,3.29,323.51,124.16,450.38,384.34,146.44,209.46,164.82,181.03,28.88,455.83,164.44,65.55,59.75,59.75,158.3,178.41,107.94,83.29,139.01,25.85,93.04,3.44,239.79,126.32,133.98,132.22,146.72,124.29,102.21,89.59,109.26,177.62,146.36,446.79,6.44,111.14,221.91,140.07,254.65,136.84,113.25,182.56,58.2,103.58,13.66,164.75,123.96,182.03,141.36,152.83,66.64,7.7,107.57,91.53,128.95,102.42,23.75,226.41,355.55,396.53,179.54,12.67,5.41,131.2,135.5,228.85,102.08,153.55,92.47,230.41,98.1,206.81,135.73,61.77,73.6,125.46,4.02,93.51,30.38,108.91,81.38,1.17,100.48,99.09,8.12,157.02,23.62,5.94,6.31,133.97,104.84,4.66,13.9,228.34,6.66,107.3,188.57,8.75,25.68,9.04,144.73,10.46,101.24,9.26,109.37,133.57,164.75,2.61,128.65,106.64,58.47,234.01,63.25,111.23,2.58,4.79,22.66,102.08,279.48,151.68,168.56,152.26,91.2,231.18,226.34,69.18,110.5,88.67,234.01,178.91,113.07,175.26,115.51,95.86,167.19,109.25,147.38,95.97,151.68,125.0,156.16,98.09,79.15,159.43,6.07,82.94,2.57,130.97,284.63,41.26,38.41,185.2,141.87,164.32,106.01,106.75,100.75,384.12,156.67,150.02,89.96,203.25,3.97,98.41,352.73,286.24,449.88,207.55,6.85,380.03,101.5,7.27,301.38,29.31,8.63
10,31.52,25.25,6.38,17.2,0.0,119.46,33.07,9.3,94.22,19.67,105.98,7.49,14.3,42.41,98.21,9.99,25.18,56.33,158.47,144.76,57.19,50.7,42.28,27.49,33.45,17.56,37.82,111.05,79.69,69.26,12.77,33.59,18.04,102.13,148.27,25.73,87.69,232.75,104.41,12.23,12.03,40.9,11.5,46.92,143.23,10.7,45.02,143.31,4.73,16.16,138.96,105.98,9.3,46.92,10.31,12.05,19.67,13.6,9.99,33.59,141.62,25.18,17.56,14.06,4.84,16.04,5.18,9.19,3.51,5.21,10.01,10.58,20.71,7.83,7.83,7.08,17.75,3.81,13.11,1.56,10.6,11.98,11.78,7.51,14.63,6.76,12.42,14.35,5.85,12.59,11.56,14.8,16.75,2.16,94.42,28.44,23.57,30.16,24.8,60.42,140.16,143.23,117.81,8.74,9.45,25.18,84.56,30.11,27.36,97.86,47.89,8.8,26.19,21.6,106.53,13.87,61.22,32.43,18.01,123.88,7.96,34.33,166.89,41.12,14.27,35.49,60.42,60.44,20.57,10.7,96.37,52.66,166.47,34.54,67.33,17.22,107.32,24.09,50.32,146.25,100.33,13.87,9.43,49.16,29.46,14.78,70.38,78.07,165.59,143.7,25.76,159.14,39.29,16.21,17.08,47.46,16.81,137.91,10.5,25.13,45.5,36.45,40.13,11.78,14.78,140.73,35.92,52.92,26.44,95.22,78.83,10.92,11.78,34.42,9.63,60.42,33.32,118.67,15.8,3.0,41.56,14.02,233.12,22.61,7.08,85.57,41.05,21.58,6.38,13.14,47.37,38.76,13.16,17.57,143.61,14.02,189.42,79.57,19.07,107.4,119.3,35.49,11.35,87.69,14.84,11.56,119.46,18.4,96.37,59.91,20.67,79.69,9.6,61.22,142.91,70.88,15.51,168.65,9.51,57.03,94.63,13.57,166.47,233.74,25.13,13.57,129.19,15.76,222.29,287.91,129.69,158.16,141.55,150.25,180.31,137.3,151.96,138.03,96.02,72.38,128.95,275.9,112.47,272.38,110.61,84.56,83.49,342.54,57.49,135.86,353.06,12.88,19.93,246.68,194.39,66.74,12.32,14.44,458.18,13.79,452.14,364.02,385.82,16.32,13.1,132.08,86.91,77.63,161.23,235.73,382.27,13.18,91.87,209.92,337.02,59.33,144.24,95.86,315.65,14.45,327.41,128.06,454.28,372.09,133.09,196.11,151.47,184.93,28.02,459.72,168.34,69.45,46.4,46.4,162.2,165.05,94.59,69.94,142.91,24.99,79.69,16.65,227.53,112.97,137.88,128.95,150.62,110.94,88.86,86.32,95.91,181.52,150.25,450.69,13.5,115.04,209.66,127.82,258.55,140.73,117.15,169.22,44.85,90.23,11.08,168.65,127.86,185.93,145.26,162.64,55.96,17.63,94.22,95.42,115.6,106.32,9.18,213.06,363.74,385.75,183.43,17.08,18.35,135.1,122.15,232.75,105.98,157.45,96.37,234.3,85.85,194.55,122.38,58.5,60.25,129.36,16.95,80.16,13.8,112.81,68.03,16.39,87.13,86.83,13.08,160.92,22.76,18.87,13.1,137.86,91.49,14.84,9.19,232.24,18.59,93.95,192.47,17.67,24.9,20.42,146.88,17.66,111.05,9.75,96.02,120.22,168.65,16.72,132.54,93.29,55.2,221.75,49.9,115.12,17.8,13.78,22.74,105.98,281.4,138.33,156.31,138.91,77.86,235.07,230.24,55.83,97.15,75.32,221.75,166.66,116.96,185.07,102.16,82.52,171.08,95.9,135.13,92.7,138.33,111.65,142.8,84.74,83.05,163.33,20.78,79.67,15.83,134.86,288.53,27.91,25.73,171.85,128.52,168.22,109.9,110.64,87.4,371.87,143.32,136.67,86.69,207.15,13.93,85.06,356.63,290.13,453.78,194.2,15.45,383.93,105.4,11.51,305.28,12.74,18.45
105,127.11,135.42,117.03,132.81,119.46,0.0,109.2,109.22,42.77,115.19,197.87,117.91,109.8,134.31,190.11,115.99,130.68,156.72,250.36,236.65,155.85,90.33,142.68,125.27,125.83,113.51,129.72,210.37,69.71,169.66,120.21,132.78,121.96,202.53,240.17,121.22,151.63,324.64,128.25,119.69,121.07,132.8,123.03,147.32,235.13,107.55,91.85,235.2,118.79,127.87,230.86,197.87,109.22,147.32,124.19,119.6,115.19,126.13,115.99,132.78,233.51,130.68,113.51,111.6,114.84,127.75,119.91,118.24,119.55,119.15,107.91,122.29,130.52,121.71,119.49,120.96,116.55,115.01,124.64,115.72,121.85,122.73,113.83,110.36,114.83,117.18,122.6,117.99,113.03,122.77,124.16,114.66,128.44,117.03,42.97,126.17,124.67,129.35,130.46,83.24,232.05,235.13,3.63,109.96,116.35,130.68,153.0,126.79,125.45,47.18,89.38,122.02,126.33,118.66,198.42,108.61,87.92,127.04,123.99,4.66,116.31,106.02,258.79,133.02,109.77,135.89,83.24,83.26,123.97,107.55,188.27,151.32,73.91,134.94,167.73,120.9,199.22,116.49,150.72,240.63,200.73,108.61,118.81,149.56,121.36,114.84,155.13,178.47,257.49,235.59,95.98,251.03,131.19,113.31,128.48,139.36,128.22,42.26,107.63,133.8,145.9,135.65,140.53,113.83,114.84,232.63,136.31,147.3,119.91,43.77,68.85,114.13,113.83,126.31,116.53,83.24,125.21,2.71,112.76,115.1,95.98,125.61,325.02,114.5,120.96,147.85,132.94,130.57,120.26,124.86,147.77,130.66,123.35,129.28,235.51,125.55,174.07,171.47,130.78,199.29,1.52,135.89,120.39,151.63,126.55,124.16,0.0,128.8,188.27,82.73,130.48,69.71,122.81,87.92,234.81,162.78,127.2,260.55,121.22,151.41,43.18,125.1,73.91,325.64,133.8,125.1,133.56,127.16,188.41,379.81,221.59,250.05,25.68,242.15,87.19,218.98,243.85,42.75,44.58,155.27,223.34,367.8,204.36,364.27,209.94,153.0,182.82,347.47,80.31,227.75,275.07,124.59,128.95,168.7,286.29,158.76,124.03,126.15,550.08,123.97,544.04,286.04,307.83,127.72,125.96,223.97,159.06,172.01,253.13,327.63,474.16,110.14,186.25,199.89,341.73,82.15,236.13,187.76,237.66,126.14,332.12,219.96,546.17,294.1,39.97,102.99,58.35,276.82,119.91,551.62,260.23,161.34,78.67,78.67,254.09,71.93,43.14,59.96,234.81,116.88,69.71,128.05,149.55,27.33,229.78,223.34,242.52,22.69,59.23,180.7,42.74,273.42,242.15,542.58,123.68,206.94,131.62,104.84,350.44,232.63,209.05,86.47,84.68,38.78,120.12,260.55,219.75,277.82,237.16,263.04,93.04,127.43,42.77,187.32,26.48,198.22,108.97,119.94,455.64,307.77,275.33,123.06,129.75,227.0,2.93,324.64,197.87,249.34,188.26,245.28,147.7,172.48,17.4,152.88,83.07,221.26,128.35,71.05,109.3,204.71,58.29,128.1,35.68,150.93,124.61,252.81,114.66,130.28,125.96,229.76,40.04,126.55,118.24,324.13,128.68,42.5,284.37,128.81,116.8,129.41,240.52,125.4,210.37,121.28,44.58,8.0,260.55,128.43,224.44,41.84,149.58,187.87,82.27,207.02,129.51,125.75,115.41,197.87,218.23,41.88,87.65,56.17,76.57,326.97,322.13,77.73,45.7,47.82,187.87,170.53,208.86,285.47,134.57,78.55,262.98,50.35,100.57,187.08,41.88,11.5,45.53,57.24,174.94,255.22,132.49,174.06,127.54,226.76,380.43,99.31,121.22,76.45,14.87,260.12,201.8,202.54,59.91,293.88,50.2,43.55,181.07,299.04,125.68,33.6,360.92,382.03,545.68,101.08,125.63,323.31,197.3,123.22,350.92,111.33,127.14
