CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND
1019,EX MOUNT LAVINIA,"MOUNT LAVINIA, Sri Lanka",6.8301185,79.8800832,Cargills
1034,FC MAHARAGAMA,"MAHARAGAMA, Sri Lanka",6.8510951,79.9212011,Cargills
1038,FC PITAKOTTE,"PITAKOTTE, Sri Lanka",6.8808992,79.9052768,Cargills
1039,FC NUGEGODA,"NUGEGODA, Sri Lanka",6.8649081,79.8996789,Cargills
1063,FC MALABE,"MALABE, Sri Lanka",6.9060787,79.9696277,Cargills
1069,FC RAJAGIRIYA,"RAJAGIRIYA, Sri Lanka",6.9094108,79.8942538,Cargills
1086,FC GAMPAHA,"GAMPAHA, Sri Lanka",7.0840484,80.0098314,Cargills
1101,FC PILIYANDALA,"PILIYANDALA, Sri Lanka",6.8017575,79.9227313,Cargills
1103,FC NAWALA,"NAWALA, Sri Lanka",6.8964191,79.8884819,Cargills
1118,FC KOHUWALA,"KOHUWALA, Sri Lanka",6.8624842,79.8854983,Cargills
1119,FC WELLAWATTE,"WELLAWATTE, Sri Lanka",6.8740921,79.8604934,Cargills
1122,FC KELANIYA,"KELANIYA, Sri Lanka",6.9517846,79.9132991,Cargills
1123,FC KOTTAWA,"KOTTAWA, Sri Lanka",6.8411652,79.9654324,Cargills
1128,FC KOLONNAWA,"KOLONNAWA, Sri Lanka",6.9283596,79.8949946,Cargills
1132,FC HOMAGAMA,"HOMAGAMA, Sri Lanka",6.8432762,80.0031833,Cargills
1134,FC KARAGAMPITIYA,"KARAGAMPITIYA, Sri Lanka",6.847802,79.8723837,Cargills
1141,FC KADUWELA,"KADUWELA, Sri Lanka",6.929061,79.9827754,Cargills
1154,FC DELKANDA,"DELKANDA, Sri Lanka",6.8643687,79.8970403,Cargills
1165,FC KOSWATTE,"KOSWATTE, Sri Lanka",6.908863,79.9313567,Cargills
1168,FC WIJERAMA,"WIJERAMA, Sri Lanka",6.8551817,79.9087754,Cargills
1173,FC KOHUWALA 2,"KOHUWALA , Sri Lanka",6.8624842,79.8854983,Cargills
1176,FC MIRIHANA,"MIRIHANA, Sri Lanka",6.8689647,79.9038774,Cargills
1177,FC NUGEGODA 2,"NUGEGODA , Sri Lanka",6.8649081,79.8996789,Cargills
1178,FC MAHARAGAMA 2,"MAHARAGAMA , Sri Lanka",6.8510951,79.9212011,Cargills
1197,FC ATHURUGIRIYA,"ATHURUGIRIYA, Sri Lanka",6.8723185,80.0003875,Cargills
1284,FC RAJAGIRIYA 2,"RAJAGIRIYA , Sri Lanka",6.9094108,79.8942538,Cargills
1285,FC PANNIPITIYA,"PANNIPITIYA, Sri Lanka",6.8463993,79.9484346,Cargills
1287,FC BOKUNDARA,"BOKUNDARA, Sri Lanka",6.8164327,79.9206694,Cargills
1290,FC BATTARAMULLA,"BATTARAMULLA, Sri Lanka",6.8979941,79.9222869,Cargills
1295,FC MALABE 2,"MALABE , Sri Lanka",6.9060787,79.9696277,Cargills
1328,EX HABARAKADA,"HABARAKADA, Sri Lanka",6.8659667,80.0129679,Cargills
1329,EX NEDIMALA,"NEDIMALA, Sri Lanka",6.8552665,79.881483,Cargills
1332,FC MATTEGODA,"MATTEGODA, Sri Lanka",6.8135488,79.9724245,Cargills
1340,EX POLGAHAWELA,"POLGAHAWELA, Sri Lanka",7.3274866,80.2934522,Cargills
1344,EX DEPANAMA,"DEPANAMA, Sri Lanka",6.8604633,79.9446302,Cargills
1346,EX MAWARAMANDIYA,"MAWARAMANDIYA, Sri Lanka",6.9896112,79.9738229,Cargills
1347,EX MULLERIYAWA,"MULLERIYAWA, Sri Lanka",6.9248928,79.9380375,Cargills
1348,EX PUGODA,"PUGODA, Sri Lanka",6.9750337,80.1180967,Cargills
1354,EX CTG PILIYANDALA,"CTG PILIYANDALA, Sri Lanka",6.8017575,79.9227313,Cargills
1362,EX PITIPANA,"PITIPANA, Sri Lanka",6.9066865,80.0522928,Cargills
1363,EX SIDDAMULLA,"SIDDAMULLA, Sri Lanka",6.8172516,79.9598383,Cargills
1378,EX RUKMALGAMA,"RUKMALGAMA, Sri Lanka",6.8559758,79.9780178,Cargills
1380,EX POKUNUWITA,"POKUNUWITA, Sri Lanka",6.7288686,80.0297389,Cargills
1382,EX ARANGALA,"ARANGALA, Sri Lanka",6.8699679,79.9920576,Cargills
1392,EX GONAPOLA,"GONAPOLA, Sri Lanka",6.7563403,80.0171609,Cargills
1396,EX HAVELOCK CITY,"HAVELOCK CITY, Sri Lanka",6.8827383,79.8683695,Cargills
1406,FC KOTIKAWATTA,"KOTIKAWATTA, Sri Lanka",6.9345136,79.9059766,Cargills
1416,FC ETHULKOTTE,"ETHULKOTTE, Sri Lanka",6.8914832,79.9052768,Cargills
1418,FC KALAPALUWAWA,"KALAPALUWAWA, Sri Lanka",6.9141883,79.9150724,Cargills
1447,FC KOTTAWA 2,"KOTTAWA , Sri Lanka",6.8411652,79.9654324,Cargills
1452,FC THALAWATHUGODA,"THALAWATHUGODA, Sri Lanka",6.8758648,79.9391936,Cargills
1465,FC DALUGAMA,"DALUGAMA, Sri Lanka",6.9752231,79.9206694,Cargills
1473,FC STANLY TMW,"STANLY TMW, Sri Lanka",6.8755381,79.8947554,Cargills
1479,FC THALAHENA,"THALAHENA, Sri Lanka",6.9123126,79.9514464,Cargills
1487,FC PELAWATTA 2,"PELAWATTA , Sri Lanka",6.40053,80.2120618,Cargills
1489,FC UDAHAMULLA,"UDAHAMULLA, Sri Lanka",6.8665559,79.9150724,Cargills
1491,FC WERAHERA,"WERAHERA, Sri Lanka",6.8280052,79.9052768,Cargills
1493,FC HOMAGAMA 2,"HOMAGAMA , Sri Lanka",6.8432762,80.0031833,Cargills
1496,FC KAWDANA,"KAWDANA, Sri Lanka",6.8418059,79.8665045,Cargills
1540,FC DEPANAMA,"DEPANAMA, Sri Lanka",6.8604633,79.9446302,Cargills
1541,FC HIMBUTANA,"HIMBUTANA, Sri Lanka",6.9264231,79.9339124,Cargills
1542,FC KADUWELA 02,"KADUWELA , Sri Lanka",6.929061,79.9827754,Cargills
1547,FC GOTHATUWA IDH,"GOTHATUWA IDH, Sri Lanka",6.9288713,79.9027493,Cargills
1551,FC PILIYANDALA 2,"PILIYANDALA , Sri Lanka",6.8017575,79.9227313,Cargills
1557,FC THALAPATHPITIYA,"THALAPATHPITIYA, Sri Lanka",6.8693785,79.9234678,Cargills
1558,FC KOSWATTE 2,"KOSWATTE , Sri Lanka",6.908863,79.9313567,Cargills
1561,FC WELLAMPITIYA,"WELLAMPITIYA, Sri Lanka",6.9424282,79.9045771,Cargills
1563,FC WIJERAMA 2,"WIJERAMA , Sri Lanka",6.8551817,79.9087754,Cargills
1564,FC KOLAMUNNA,"KOLAMUNNA, Sri Lanka",6.7953487,79.9234678,Cargills
