CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE
1108,FC KOTAHENA,"108 , George R. de Silva  Mw , Kotahena .",6.9480164,79.8598246
1117,FC AMBALANGODA,"98 A , New Road , Ambalangoda .",6.2355,80.0538
1109,FC PARK ROAD,"213 , Park  Road , Off Elvitigala Mw , Colombo 05",7.565013,79.802067
1115,FC BERUWELA,"162 ,  Galle  Road , Beruwela .",6.4859894,79.9832676
1113,FC KATUGASTOTA,"271 A , Katugastota  Road , Kandy .",7.2728825,80.6040777
1133,FC WARAKAPOLA,"97 , Kandy  Road , Warakapola",7.222439,80.191608
1303,EX ALEXANDRA PLACE,"75, C.W.W. Kannangara Mw. Colombo 7",6.8910338,79.8484293
1134,FC KARAGAMPITIYA,"176 , Hill  Street , Karagampitiya , Dehiwala",6.8506047,79.867792
1124,FC MATALE,"99 A , King  Street , Mathale",7.249969,80.592953
1136,FC PELIYAGODA,"304 , Negombo  Road , Peliyagoda",6.9650494,79.8819826
1305,EX HAVELOCK ROAD,"323, Havelock Rd. Coombo 6",6.8814334,79.8695965
1122,FC KELANIYA,"878 , Kandy  Road , Kelaniya",6.95606,79.883368
1116,FC AVISSAWELLA,"91 ,  Ratnapura  Road , Avissawella .",6.9529643,80.212406
1129,FC DEMATAGODA,"297/7 , Baseline  Road , Dematagoda , Colombo 09",6.917668,79.85513
1121,FC GALLE,"24 & 26 ,  Gamini  Mawatha , Galle .",6.0686329,80.2181013
1132,FC HOMAGAMA,"96 , High  Level  Road , Homagama .",6.8395437,79.9896826
1118,FC KOHUWALA,"89, S.D.S. Jayasinghe Mawatha , Kohuwala, Nugegoda .",6.8684,79.8816
1128,FC KOLONNAWA,"Urban  Council  Premises ,  Kolonnawa , Wellampitiya .",6.93311,79.891545
1130,FC MOUNT LAVINIA STC,"270 , Galle  Road , Mount Lavinia .S.T.C",6.9098375,79.8501529
1138,FC EMBILIPITIYA,"51 , Nonagama   Road , Embilipitiya .",6.2934953,80.884298
1123,FC KOTTAWA,"87 , High level  Road , Kottawa .",6.8394272,79.9712634
1120,FC ANURADHAPURA,"248 , Main street , Anuradhapura .",8.3353681,80.4109817
1131,FC WENNAPPUWA,"25/2  ,  Chilaw  Road , Wennapuwa .",6.131082,80.104173
1137,FC MUTUWAL,"54 /1 , Centre  Road, Mattakkuliya .",6.9733929,79.8755033
1144,FC SEEDUWA,"673 , Negambo Road, Liyanagemulla  Seeduwa .",7.1305,79.8871
1308,EX BAMBALAPITIYA,"762, Galle Rd. Colombo 4",6.894858,79.85481
1139,FC BALANGODA,"157 , Old Road , Balangoda .",6.651389,80.697868
1141,FC KADUWELA,"125 A, Colombo - Avissawella Rd , Kaduwela .",6.9339,79.982
1145,FC MARADANA,"585 , Maradana  Road , Maradana .",6.926472,79.8640039
1125,FC BADULLA,"18 , Dharmadutha Road, Badulla .",6.9879886,81.0595402
1142,FC KANDANA,"39 A  Negambo Road , Kandana .",7.048,79.8937
1146,FC VAVUNIYA,"137, Kandy Road , Vauniya .",6.976602,80.763936
1312,EX PANADURA,"205, Galle Road, Panadura.",6.7105538,79.9075212
1157,FC PILIMATALAWA,"178, Colombo Road , Pilimathalawa.",7.263315,80.5470324
1143,BC KATUBEDDA,"241, Galle Road ,  Katubedda. ( Big  City )",6.7932807,79.8871845
1160,FC ATTIDIYA,"251, Main Road ,  Attidiya .",7.481132,81.691431
1158,FC DAMBULLA,"643, Anuradhapura Road,  Dambulla",7.88005,80.650647
1153,FC DICKWELLA,"52, Mahawela Road , Dickwella.",5.940403,80.532569
1159,FC AKURANA,"281, Matale Road , Akurana.",7.36032,80.60062
1150,FC HAMBANTOTA,"Thissa Road,  Hambanthota.",6.326357,81.307648
1147,FC MINUWANGODA,"40, Colombo Road,  Minuwangoda.",7.1663,79.9533
1154,FC DELKANDA,"352 B, Gamsaba Junsion , Delkanda.",6.8630854,79.9014222
1036,FC KIRIBATHGODA,"222 ,  Kandy  Road ,   Kiribathgoda .",6.9704282,79.9198954
1164,FC HATTON,"171, Dimbulla Road  ,  Hatton.",6.8916333,80.5984591
1317,EX KATUNAYAKE SLAF,SLAF Base Katunayaka,7.1852222,79.8768381
1166,FC KATUKURUNDA,"919, Galle Road,  Katukurunda.",6.5931613,79.9591597
1165,FC KOSWATTE,"290,  Kaduwela Road  ,  Koswatta.",7.3659684,79.8925803
1173,FC KOHUWALA 2,"No.106/3, Dutugemunu Street,   Kohuwala",6.8671664,79.8845638
1178,FC MAHARAGAMA 2,"No.147,High Level Rd,  Maharagama.",6.848,79.9265
1176,FC MIRIHANA,"No.108,Jubilie Post,  Mirihana , Nugegoda.",6.8751656,79.8983616
