CODE,LOCATION,ADDRESS,LATITUDE,LONGITUDE,BRAND,APPROVE
L24,Maharagama,"129 High Level Rd, Maharagama 10280",6.84507,79.9279104,Laugfs,True
L25,Mattegoda,"No 193/20H, Polgasowita",6.8113771,79.9730276,Laugfs,True
L26,Moratuwa,"06 Old Galle Rd, Moratuwa 10400",6.8052121,79.8081556,Laugfs,True
L27,Negombo,"6V33+222, Negombo",7.2060848,79.8440507,Laugfs,True
L28,Negombo-2,"Rajapakse Broadway, Negombo",7.2096481,79.8359927,Laugfs,True
L29,Nugegoda,"VV8P+J25, B84, Nugegoda",6.8665245,79.866064,Laugfs,True
L30,Pelawatta,"VWRH+C5X, Sri Jayawardenepura Kotte",6.8911186,79.9254149,Laugfs,True
L31,Pepiliyana,"No: 68 Pepiliyana Rd, Nugegoda",6.8615546,79.8925084,Laugfs,True
L32,Pitakotte,"No.338 Kotte Rd, Sri Jayawardenepura Kotte 10100",6.8832052,79.8994188,Laugfs,True
L33,Raddolugama,"4VQX+5WV, Katunayake",7.1379864,79.897225,Laugfs,True
L34,Rajagiriya,"1070 Sri Jayawardenepura Mawatha, Sri Jayawardenepura Kotte 10100",6.907645,79.8980634,Laugfs,True
L35,Rathmalana,"Gonaakowila S weerasena silva rd, ratmalana 5A, S Weerasena silva mw",6.8113568,79.8344401,Laugfs,True
L36,Seeduwa,"4VJG+CJ5, Negombo",7.1310197,79.8740202,Laugfs,True
L37,Wattala,"No .08 Hendala Rd, Wattala 11300",6.9910198,79.8832669,Laugfs,True
L38,Wellawatta,"351 Galle Rd, Colombo 00600",6.8715543,79.8525956,Laugfs,True
L39,Werahera,"RWG5+36R, Boralesgamuwa 10290",6.825243,79.9054252,Laugfs,True
14001,DELKANDA,"Nugegoda Delkanda Apartment, High Level Rd, Nugegoda 10250",6.8618093,79.9021526,Softlogic Supermarket,True
14003,ASIRI CENTRAL,"3rd Place, Asiri Central Hospital, 01000",6.9205391,79.8631308,Softlogic Supermarket,True
14004,ASIRI KANDY,Softlogic GLOMARK Essentials - Peradaniya,7.2742831,80.6087316,Softlogic Supermarket,True
14005,KURUNEGALA,"75 Colombo Road, Kurunegala",7.4844539,80.3612803,Softlogic Supermarket,True
14006,KOTTAWA,"1285 High Level Rd, Pannipitiya",6.8392171,79.9763988,Softlogic Supermarket,True
14007,NEGOMBO,"180 St Joseph's St, Negombo 11500",7.2055266,79.845281,Softlogic Supermarket,True
14008,NAWALA,"268 Nawala Rd, Sri Jayawardenepura Kotte 10100",6.888536,79.8850743,Softlogic Supermarket,True
14009,MOUNT - LAVINIA,"282 Galle Rd, Dehiwala-Mount Lavinia 10370",6.8363241,79.8640786,Softlogic Supermarket,True
14010,MALABE,"604 Athurugiriya Rd, Malabe 10115",6.8940246,79.958491,Softlogic Supermarket,True
14011,CR FC,"28 Malalasekara Mawatha, Colombo 00700",6.9011878,79.8684319,Softlogic Supermarket,True
14012,THALAWATHUGODA,THALAWATHUGODA,6.8840289,79.9305048,Softlogic Supermarket,True
14013,KANDANA,"135 Negombo Road, Rilaulla, Kandana",7.0553708,79.8936074,Softlogic Supermarket,True
14014,KANDY - MCC,"ODEL Mall, Kandy",7.2860018,80.6237905,Softlogic Supermarket,True
14015,WATTALA,"XVVR+GV9, Wattala 11300",6.9937847,79.8896595,Softlogic Supermarket,True
A01,Wattala SC,"155 Old Negombo Rd, Wattala 11300",6.983389,79.885627,Arpico,True
A02,Borelasgamuwa SS,"RWR3+C24, Boralesgamuwa",6.8410022,79.899986,Arpico,True
A03,Hyde Park SC,"2, 69 Hyde Park Corner, Colombo 00200",6.9175873,79.8585189,Arpico,True
A04,Nawinna SC,"310 High Level Rd, Maharagama 10280",6.8529935,79.9141107,Arpico,True
A05,Matara SC,"WGVF+V7H, A2 Matara Road, Matara",5.9446764,80.5137183,Arpico,True
A06,Panadura SC,"542 Galle Rd, Panadura",6.7076101,79.9055465,Arpico,True
A07,Kottawa SS,"296 Avissawella Rd, Pannipitiya",6.8365824,79.9649907,Arpico,True
A08,Galle SC,"181 Matara Rd, Galle 80000",6.0371021,80.2275266,Arpico,True
A09,Malabe SS,"No. 741, Malabe",6.9061348,79.9459883,Arpico,True
A10,Kurunegala SC,Kurunegala,7.4774404,80.3383712,Arpico,True
A11,Kohuwala SC,"S, 89 S. De S. Jayasinghe Mawatha, Dehiwala-Mount Lavinia",6.879293,79.8561455,Arpico,True
A12,Homagama SC,"47 Avissawella Rd, Homagama 10200",6.8406915,79.9768526,Arpico,True
A13,Yakkala SS,"32MH+6XF, Yakkala",7.0830697,80.0273303,Arpico,True
A14,Kegalle SC,"783R+FH7 Arpico super center, Kegalle",7.2536707,80.3388491,Arpico,True
A15,Thalawathugoda SC,"junction, 1034/V, Kumarage watta, Battaramulla - Pannipitiya Rd, Sri Jayawardenepura Kotte",6.8523564,79.9023066,Arpico,True
A16,Wattala-2 ADA,"Gemunu Palace Cinema, Near, Negombo - Colombo Main Rd, Wattala 11300",6.983389,79.885627,Arpico,True
A17,Kochchikade SC,Kochchikade ,7.2693498,79.8602015,Arpico,True
A18,Kundasale SS,Kundasale,7.2800245,80.6723297,Arpico,True
A19,Katugastota SC,"Nittawela Junction Bus Stop, Katugastota Rd, Kandy",7.3171252,80.6272529,Arpico,True
A20,Minuwangoda SC,"5WCV+M93, Katunayake Road, Minuwangoda",7.1716643,79.940845,Arpico,True
A21,Katukurunda SC,Katukurunda 12000,6.5587753,79.9659406,Arpico,True
A22,Seeduwa SC,"No: 600 Negombo Rd, Seeduwa 11410",7.1431849,79.8719422,Arpico,True
A23,Kiribathgoda SS,"123 Kandy Rd, Kelaniya 11600",7.0595398,79.8295168,Arpico,True
A24,Ragama Daily,Arpico Daily - Ragama,7.0274426,79.9224167,Arpico,True
A25,Athurugiriya Daily,112 Athurugiriya Rd,6.8783428,79.986067,Arpico,True
A26,Weliweriya Daily,"132/24 B New Kandy Rd, Weliweriya",7.0301822,80.0264964,Arpico,True
A27,Kuliyapitiya Daily,"F2FW+926, Kuliyapitiya",7.4734048,80.0424318,Arpico,True
A28,Ambalangoda Daily,"63M3+5RF, Ambalangoda",6.2329414,80.0519811,Arpico,True
A29,Wennapuwa Daily,"8RXQ+WCG, Peragas Junction, Road,, Wennappuwa",7.3498185,79.835991,Arpico,True
A30,Aththiditya Daily,"RVMP+76X, B389, Dehiwala-Mount Lavinia",6.8054405,79.4421323,Arpico,True
A31,Kandana Daily,"88 Negombo Rd, Kandana",7.0512105,79.8940493,Arpico,True
A32,Mulleriyawa Daily,"Mulleriyawa, Colombo",6.9369712,79.9799444,Arpico,True
A33,Chilaw Daily,Chilaw,7.5764624,79.7958755,Arpico,True
A34,Ambatenna Daily,"48 Matale Rd, Ambatenna",7.3481636,80.6140162,Arpico,True
A35,Watareka Daily,"Avissawella Rd, Padukka",6.8558974,80.0634892,Arpico,True
A36,Rathnapura Main Arpico Daily,Arpico Daily - Ratnapura,6.6808602,80.4104634,Arpico,True
A37,Anuradhapura Arpico Daily,"Anuradhapura, Sri Lanka",8.35647,80.41726,Arpico,True
A38,Pelmadulla Arpico Daily,"Pelmadulla Division, Ratnapura, Sri Lanka",6.6234616,80.5431388,Arpico,False
A39,Battaramulla SC,Battaramulla SC,6.8979941,79.9222869,Arpico,False
A40,Arpico SuperCentre Dehiwala,Arpico SuperCentre Dehiwala,6.846739,79.8662806,Arpico,False
A41,Arpico SuperCentre Gampaha,Arpico SuperCentre Gampaha,7.091704,79.99962,Arpico,True
A42,Arpico SuperCentre Wellawatte,Arpico SuperCentre Wellawatte,6.8740921,79.8604934,Arpico,True
A43,Arpico SuperCentre Negombo,Arpico SuperCentre Negombo,7.207204,79.843088,Arpico,False
A44,Arpico SuperCentre Kandy,Arpico SuperCentre Kandy,7.2808433,80.6204147,Arpico,True
A45,Arpico SuperCentre Piliyandala,Arpico SuperCentre Piliyandala,6.7985816,79.9297499,Arpico,False
A46,Arpico SuperCentre Kalutara,Arpico SuperCentre Kalutara,6.5587753,79.9685209,Arpico,False
A47,Arpico SuperCentre Gelioya,Arpico SuperCentre Gelioya,7.2153151,80.5979973,Arpico,False
A48,Arpico SuperCentre Haloluwa,Arpico SuperCentre Haloluwa,7.3018682,80.593833,Arpico,False
1017,FC STAPLES STREET,"21,  Staples  Street,  Colombo  02",6.9201578,79.8558913,Cargills,False
1018,FC KANDY,"3 ,  Dalada  Veedia ,  Kandy .",7.2928882,80.6369967,Cargills,True
1033,FC MAJESTIC CITY,"Majestic  City  ,  10 , Station Road , Colombo  04",6.8939546,79.8547111,Cargills,True
1015,FC BANDARAWELA,"7 , Welimada  Road ,  Bandarawella",6.8310177,80.9883808,Cargills,False
1020,FC NUWARA ELIYA,"90 , Kandy  Road ,  Nuwaraeliya .",6.9759987,80.7657155,Cargills,False
1005,FC FORT,"40 , York Street ,  Fort ,  Colombo  01",6.9364053,79.8448963,Cargills,True
1076,FC KURUNEGALA,"44 , Negombo  Road , Kurunegala .",7.4884538,80.3608299,Cargills,True
